PUNXÍN,Ourense,32456,42.371661,-7.999713
QUINTELA DE LEIRADO,Ourense,32814,42.130121,-8.09046
RAIRIZ DE VEIGA,Ourense,32652,42.08142199,-7.831306458
RAMIRÁS,Ourense,32810,42.186664,-8.023067
RIBADAVIA,Ourense,32400,42.287475,-8.143345
RIÓS,Ourense,32611,41.974575,-7.282734
RUBIÁ,Ourense,32310,42.44782039,-6.946359304
SAN AMARO,Ourense,32455,42.374909,-8.07265
SAN CIBRAO DAS VIÑAS,Ourense,32911,42.2980661,-7.8738503
SAN CRISTOVO DE CEA,Ourense,32130,42.474886,-7.984856
SAN XOÁN DE RÍO,Ourense,32770,42.370142,-7.299289
SANDIÁS,Ourense,32692,42.111165,-7.757796
SARREAUS,Ourense,32638,42.0879001,-7.6046091
TABOADELA,Ourense,32690,42.2551411,-7.8177601
TOÉN,Ourense,32930,42.314473,-7.955743
TRASMIRAS,Ourense,32695,42.0253923,-7.6179154
VEREA,Ourense,32813,42.098863,-7.951564
VERÍN,Ourense,32600,41.9383322,-7.437055422
VIANA DO BOLO,Ourense,32550,42.180153,-7.114881
VILAMARÍN,Ourense,32101,42.465077,-7.891367
VILAMARTÍN DE VALDEORRAS,Ourense,32340,42.415094,-7.063105
VILAR DE BARRIO,Ourense,32702,42.161133,-7.6105003
VILAR DE SANTOS,Ourense,32650,42.087156,-7.794199
VILARDEVÓS,Ourense,32616,41.90627,-7.311348
VILARIÑO DE CONSO,Ourense,32557,42.16594911,-7.182016451
XINZO DE LIMIA,Ourense,32630,42.063528,-7.7248
XUNQUEIRA DE AMBÍA,Ourense,32670,42.204092,-7.735255
XUNQUEIRA DE ESPADANEDO,Ourense,32730,42.3184805,-7.6290732
A CAÑIZA,Pontevedra,36880,42.21273631,-8.273391465
A ESTRADA,Pontevedra,36680,42.688413,-8.488972
A GUARDA,Pontevedra,36780,41.90110255,-8.874159482
A ILLA DE AROUSA,Pontevedra,36626,42.56382982,-8.873840726
A LAMA,Pontevedra,36830,42.397577,-8.442746
AGOLADA,Pontevedra,36520,42.76316086,-8.019077946
ARBO,Pontevedra,36430,42.1106786,-8.3128376
AS NEVES,Pontevedra,36440,42.088442,-8.415479
BAIONA,Pontevedra,36300,42.11934858,-8.849593557
BARRO,Pontevedra,36194,42.523578,-8.638022
BUEU,Pontevedra,36930,42.326407,-8.784873
CALDAS DE REIS,Pontevedra,36650,42.60255819,-8.642313221
CAMBADOS,Pontevedra,36630,42.515366,-8.814597
CAMPO LAMEIRO,Pontevedra,36110,42.540358,-8.54404
CANGAS,Pontevedra,36940,42.26362359,-8.780360378
CATOIRA,Pontevedra,36612,42.6661577,-8.7226726
CERDEDO,Pontevedra,36130,42.5324907,-8.393323
COTOBADE,Pontevedra,36071,42.466692,-8.4961318
COVELO,Pontevedra,36872,42.231895,-8.3635554
CRECENTE,Pontevedra,36420,42.1899781,-8.1884949
CUNTIS,Pontevedra,36670,42.63313039,-8.562898377
DOZÓN,Pontevedra,36518,42.56678511,-8.046325601
